Sentiment(polarity=0.0, subjectivity=0.0),Yay!

Sentiment(polarity=0.0, subjectivity=0.0),Nay!

Sentiment(polarity=1.0, subjectivity=0.75),I feel great!

Sentiment(polarity=-0.9999999999999999, subjectivity=1.0),I feel stupid!

Sentiment(polarity=0.0, subjectivity=0.0),

Sentiment(polarity=0.0, subjectivity=0.0),Hello!

Sentiment(polarity=1.0, subjectivity=0.75),great! jab

Sentiment(polarity=1.0, subjectivity=0.75),great! jab

Sentiment(polarity=0.0, subjectivity=0.0),still works!

Sentiment(polarity=0.0, subjectivity=0.0),still works!

Sentiment(polarity=0.0, subjectivity=0.0),still works!

Sentiment(polarity=0.0, subjectivity=0.0),hello world!

Sentiment(polarity=0.0, subjectivity=0.0),heheheb

Sentiment(polarity=1.0, subjectivity=0.75),I feel great!

Sentiment(polarity=0.0, subjectivity=0.0),test

Sentiment(polarity=0.0, subjectivity=0.0),Test

Sentiment(polarity=0.0, subjectivity=0.0),Evening test

Sentiment(polarity=0.0, subjectivity=0.0),Ah

Sentiment(polarity=0.0, subjectivity=0.0),Then

Sentiment(polarity=0.0, subjectivity=0.0),I

Sentiment(polarity=0.0, subjectivity=0.0),J

Sentiment(polarity=0.0, subjectivity=0.0),J

Sentiment(polarity=0.0, subjectivity=0.0),J

Sentiment(polarity=0.0, subjectivity=0.0),I

