Sentiment(polarity=0.35, subjectivity=0.9),1. John 3:16: For God so loved the world that he gave his one and only Son that whoever believes in him shall not perish but have eternal life.
Sentiment(polarity=0.0, subjectivity=0.125),2. Jer 29:11: For I know the plans I have for you” declares the LORD “plans to prosper you and not to harm you plans to give you hope and a future.
Sentiment(polarity=0.6, subjectivity=0.6000000000000001),3. Rom 8:28: And we know that in all things God works for the good of those who love him who have been called according to his purpose.
Sentiment(polarity=0.0, subjectivity=0.0),4. Phil 4:13: I can do everything through him who gives me strength.
Sentiment(polarity=0.0, subjectivity=0.0),5. Gen 1:1: In the beginning God created the heavens and the earth.
Sentiment(polarity=0.6, subjectivity=1.0),6. Prov 3:5: Trust in the LORD with all your heart and lean not on your own understanding.
Sentiment(polarity=0.2, subjectivity=0.4),7. Prov 3:6: in all your ways acknowledge him and he will make your paths straight.
Sentiment(polarity=0.7333333333333334, subjectivity=0.7416666666666667),8. Rom 12:2: Do not conform any longer to the pattern of this world but be transformed by the renewing of your mind. Then you will be able to test and approve what God’s will is—his good pleasing and perfect will.
Sentiment(polarity=-0.125, subjectivity=0.5),9. Phil 4:6: Do not be anxious about anything but in everything by prayer and petition with thanksgiving present your requests to God.
Sentiment(polarity=0.0, subjectivity=0.0),10. Matt 28:19: Therefore go and make disciples of all nations baptizing them in the name of the Father and of the Son and of the Holy Spirit.
Sentiment(polarity=0.0, subjectivity=0.0),11. Eph 2:8: For it is by grace you have been saved through faith—and this not from yourselves it is the gift of God—
Sentiment(polarity=0.65, subjectivity=0.4),12. Gal 5:22: But the fruit of the Spirit is love joy peace patience kindness goodness faithfulness
Sentiment(polarity=0.0, subjectivity=0.13333333333333333),13. Rom 12:1: Therefore I urge you brothers in view of God’s mercy to offer your bodies as living sacrifices holy and pleasing to God—this is your spiritual act of worship.
Sentiment(polarity=0.04999999999999999, subjectivity=0.5166666666666667),14. John 10:10: The thief comes only to steal and kill and destroy; I have come that they may have life and have it to the full.
Sentiment(polarity=0.5, subjectivity=0.5),15. Acts 18:10: For I am with you and no one is going to attack and harm you because I have many people in this city.”
Sentiment(polarity=-0.3, subjectivity=0.5),16. Acts 18:9: One night the Lord spoke to Paul in a vision: “Do not be afraid; keep on speaking do not be silent.
Sentiment(polarity=-0.16666666666666666, subjectivity=0.16666666666666666),17. Acts 18:11: So Paul stayed for a year and a half teaching them the word of God.
Sentiment(polarity=0.2772727272727272, subjectivity=0.575),18. Gal 2:20: I have been crucified with Christ and I no longer live but Christ lives in me. The life I live in the body I live by faith in the Son of God who loved me and gave himself for me.
Sentiment(polarity=0.0, subjectivity=0.0),19. 1 John 1:9: If we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness.
Sentiment(polarity=0.0, subjectivity=0.3),20. Rom 3:23: for all have sinned and fall short of the glory of God
Sentiment(polarity=0.0, subjectivity=0.0),21. John 14:6: Jesus answered “I am the way and the truth and the life. No one comes to the Father except through me.
Sentiment(polarity=0.35, subjectivity=0.5944444444444444),22. Matt 28:20: and teaching them to obey everything I have commanded you. And surely I am with you always to the very end of the age.”
Sentiment(polarity=0.55, subjectivity=0.8),23. Rom 5:8: But God demonstrates his own love for us in this: While we were still sinners Christ died for us.
Sentiment(polarity=0.36875, subjectivity=0.7294642857142857),24. Phil 4:8: Finally brothers whatever is true whatever is noble whatever is right whatever is pure whatever is lovely whatever is admirable—if anything is excellent or praiseworthy—think about such things.
Sentiment(polarity=0.0, subjectivity=0.0),25. Phil 4:7: And the peace of God which transcends all understanding will guard your hearts and your minds in Christ Jesus.
Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333),26. Josh 1:9: Have I not commanded you? Be strong and courageous. Do not be terrified; do not be discouraged for the LORD your God will be with you wherever you go.”
Sentiment(polarity=-0.5, subjectivity=1.0),27. Isa 40:31: but those who hope in the LORD will renew their strength. They will soar on wings like eagles; they will run and not grow weary they will walk and not be faint.
Sentiment(polarity=0.0, subjectivity=0.0),28. Eph 2:9: not by works so that no one can boast.
Sentiment(polarity=0.0, subjectivity=0.0),29. Rom 6:23: For the wages of sin is death but the gift of God is eternal life in Christ Jesus our Lord.
Sentiment(polarity=0.0, subjectivity=0.5),30. Gal 5:23: gentleness and self-control. Against such things there is no law.
